path_id,path_type,distance_m,epoch_days,subsidence_mm,source,digitised_by
S,transverse,-230.1,600,-28,10.18311/jmmf/2022/32099,adarsh
S,transverse,-220.0,600,-30,10.18311/jmmf/2022/32099,adarsh
S,transverse,-210.1,600,-23,10.18311/jmmf/2022/32099,adarsh
S,transverse,-199.8,600,-53,10.18311/jmmf/2022/32099,adarsh
S,transverse,-189.9,600,-33,10.18311/jmmf/2022/32099,adarsh
S,transverse,-180.1,600,0,10.18311/jmmf/2022/32099,adarsh
S,transverse,-170.1,600,-44,10.18311/jmmf/2022/32099,adarsh
S,transverse,-160.3,600,-88,10.18311/jmmf/2022/32099,adarsh
S,transverse,-150.1,600,-86,10.18311/jmmf/2022/32099,adarsh
S,transverse,-140.1,600,-99,10.18311/jmmf/2022/32099,adarsh
S,transverse,-130.2,600,-137,10.18311/jmmf/2022/32099,adarsh
S,transverse,-120.1,600,-205,10.18311/jmmf/2022/32099,adarsh
S,transverse,-109.7,600,-238,10.18311/jmmf/2022/32099,adarsh
S,transverse,-100.1,600,-314,10.18311/jmmf/2022/32099,adarsh
S,transverse,-90.0,600,-377,10.18311/jmmf/2022/32099,adarsh
S,transverse,-79.9,600,-469,10.18311/jmmf/2022/32099,adarsh
S,transverse,-70.0,600,-613,10.18311/jmmf/2022/32099,adarsh
S,transverse,-59.9,600,-669,10.18311/jmmf/2022/32099,adarsh
S,transverse,-50.0,600,-777,10.18311/jmmf/2022/32099,adarsh
S,transverse,-41.0,600,-1039,10.18311/jmmf/2022/32099,adarsh
S,transverse,-29.8,600,-969,10.18311/jmmf/2022/32099,adarsh
S,transverse,-19.9,600,-1087,10.18311/jmmf/2022/32099,adarsh
S,transverse,-9.9,600,-1154,10.18311/jmmf/2022/32099,adarsh
S,transverse,-0.2,600,-1232,10.18311/jmmf/2022/32099,adarsh
S,transverse,9.9,600,-1206,10.18311/jmmf/2022/32099,adarsh
S,transverse,20.1,600,-1211,10.18311/jmmf/2022/32099,adarsh
S,transverse,30.0,600,-1163,10.18311/jmmf/2022/32099,adarsh
S,transverse,40.0,600,-1106,10.18311/jmmf/2022/32099,adarsh
S,transverse,50.2,600,-1033,10.18311/jmmf/2022/32099,adarsh
S,transverse,60.4,600,-931,10.18311/jmmf/2022/32099,adarsh
S,transverse,70.1,600,-909,10.18311/jmmf/2022/32099,adarsh
S,transverse,80.1,600,-757,10.18311/jmmf/2022/32099,adarsh
S,transverse,90.0,600,-614,10.18311/jmmf/2022/32099,adarsh
S,transverse,100.0,600,-525,10.18311/jmmf/2022/32099,adarsh
S,transverse,110.0,600,-468,10.18311/jmmf/2022/32099,adarsh
S,transverse,120.0,600,-351,10.18311/jmmf/2022/32099,adarsh
S,transverse,129.9,600,-300,10.18311/jmmf/2022/32099,adarsh
S,transverse,140.0,600,-270,10.18311/jmmf/2022/32099,adarsh
S,transverse,150.1,600,-229,10.18311/jmmf/2022/32099,adarsh
S,transverse,160.0,600,-139,10.18311/jmmf/2022/32099,adarsh
S,transverse,170.0,600,-177,10.18311/jmmf/2022/32099,adarsh
S,transverse,180.0,600,-232,10.18311/jmmf/2022/32099,adarsh
S,transverse,190.0,600,-132,10.18311/jmmf/2022/32099,adarsh
S,transverse,200.0,600,-108,10.18311/jmmf/2022/32099,adarsh
S,transverse,-270.0,690,-5,10.18311/jmmf/2022/32099,adarsh
S,transverse,-260.1,690,-10,10.18311/jmmf/2022/32099,adarsh
S,transverse,-250.0,690,-11,10.18311/jmmf/2022/32099,adarsh
S,transverse,-240.0,690,-28,10.18311/jmmf/2022/32099,adarsh
S,transverse,-230.1,690,-28,10.18311/jmmf/2022/32099,adarsh
S,transverse,-220.0,690,-30,10.18311/jmmf/2022/32099,adarsh
S,transverse,-210.1,690,-23,10.18311/jmmf/2022/32099,adarsh
S,transverse,-199.8,690,-58,10.18311/jmmf/2022/32099,adarsh
S,transverse,-189.9,690,-131,10.18311/jmmf/2022/32099,adarsh
S,transverse,-180.1,690,-48,10.18311/jmmf/2022/32099,adarsh
S,transverse,-170.1,690,-121,10.18311/jmmf/2022/32099,adarsh
S,transverse,-160.3,690,-174,10.18311/jmmf/2022/32099,adarsh
S,transverse,-150.1,690,-175,10.18311/jmmf/2022/32099,adarsh
S,transverse,-140.1,690,-155,10.18311/jmmf/2022/32099,adarsh
S,transverse,-130.2,690,-195,10.18311/jmmf/2022/32099,adarsh
S,transverse,-120.1,690,-235,10.18311/jmmf/2022/32099,adarsh
S,transverse,-109.7,690,-329,10.18311/jmmf/2022/32099,adarsh
S,transverse,-100.1,690,-361,10.18311/jmmf/2022/32099,adarsh
S,transverse,-90.0,690,-467,10.18311/jmmf/2022/32099,adarsh
S,transverse,-79.9,690,-474,10.18311/jmmf/2022/32099,adarsh
S,transverse,-70.0,690,-643,10.18311/jmmf/2022/32099,adarsh
S,transverse,-59.9,690,-737,10.18311/jmmf/2022/32099,adarsh
S,transverse,-50.0,690,-825,10.18311/jmmf/2022/32099,adarsh
S,transverse,-41.0,690,-1047,10.18311/jmmf/2022/32099,adarsh
S,transverse,-29.8,690,-977,10.18311/jmmf/2022/32099,adarsh
S,transverse,-19.9,690,-1095,10.18311/jmmf/2022/32099,adarsh
S,transverse,-9.9,690,-1163,10.18311/jmmf/2022/32099,adarsh
S,transverse,-0.2,690,-1267,10.18311/jmmf/2022/32099,adarsh
S,transverse,9.9,690,-1250,10.18311/jmmf/2022/32099,adarsh
S,transverse,20.1,690,-1249,10.18311/jmmf/2022/32099,adarsh
S,transverse,30.0,690,-1196,10.18311/jmmf/2022/32099,adarsh
S,transverse,40.0,690,-1163,10.18311/jmmf/2022/32099,adarsh
S,transverse,50.2,690,-1100,10.18311/jmmf/2022/32099,adarsh
S,transverse,60.4,690,-980,10.18311/jmmf/2022/32099,adarsh
S,transverse,70.1,690,-916,10.18311/jmmf/2022/32099,adarsh
S,transverse,80.1,690,-765,10.18311/jmmf/2022/32099,adarsh
S,transverse,90.0,690,-646,10.18311/jmmf/2022/32099,adarsh
S,transverse,100.0,690,-525,10.18311/jmmf/2022/32099,adarsh
S,transverse,110.0,690,-499,10.18311/jmmf/2022/32099,adarsh
S,transverse,120.0,690,-406,10.18311/jmmf/2022/32099,adarsh
S,transverse,129.9,690,-353,10.18311/jmmf/2022/32099,adarsh
S,transverse,140.0,690,-295,10.18311/jmmf/2022/32099,adarsh
S,transverse,150.1,690,-315,10.18311/jmmf/2022/32099,adarsh
S,transverse,160.0,690,-146,10.18311/jmmf/2022/32099,adarsh
S,transverse,170.0,690,-202,10.18311/jmmf/2022/32099,adarsh
S,transverse,180.0,690,-235,10.18311/jmmf/2022/32099,adarsh
S,transverse,190.0,690,-140,10.18311/jmmf/2022/32099,adarsh
S,transverse,200.0,690,-116,10.18311/jmmf/2022/32099,adarsh
